text,president,title,date,label
"'with scarcely any diminution of the Government revenue. That is constructive economy in the highest degree. It is the corner stone of prosperity. It should not fail to be continued. This action began by the application of economy to public expenditure. If it is to be permanent, it must be made so by the repeated application of economy. There is no surplus on which to base further tax revision at this time. Last June the estimates showed a threatened deficit",Calvin Coolidge,"December 4, 1928: Sixth Annual Message",1928-12-04T13:00:00-05:00,0
"promoting the surge in investment we so badly need to rebuild our industrial base. There's something else I want to tell you. Our bipartisan coalition worked out a tax bill we felt would provide incentive and stimulate productivity, thus reducing inflation and providing jobs for the unemployed. That was our only goal. Our opponents in the beginning didn't want a tax bill at all. So what is the purpose behind their change of heart? They've put a tax program together",Ronald Reagan,"July 27, 1981: Address on Federal Tax Reduction Legislation",1981-07-27T14:00:00-04:00,0
"about America.&nbsp; Not because I think I have all the answers.&nbsp; Not because I’m naïve about the magnitude of our challenges.&nbsp; I’m hopeful because of you.&nbsp; The young woman I met at a science fair who won national recognition for her biology research while living with her family at a homeless shelter -- she gives me hope.&nbsp; (Applause.) The autoworker who won the lottery after his plant almost closed, but kept coming to work every day, and bought flags for",Barack Obama,"September 6, 2012: Nominee Acceptance Speech at 2012 Democratic National Convention",2012-09-06T02:00:00-04:00,0
"under the sod in 1948.<br /> And if you do that, then my trip around the country has not been in vain. I am trying to wake you up to just think—to think in your own interest. And when you do that, on November the 4th you will go to the polls and you will send Adlai Stevenson to the White House and we will have 4 more years of good government and prosperity.<br /> Thank you very much.",Harry S. Truman,"October 22, 1952: Rear Platform Remarks",1952-10-22T13:00:00-05:00,0
"these intervening years? Well, since 1969 the Soviet Union has built five new classes of ICBM's, and upgraded these eight times. As a result, their missiles are much more powerful and accurate than they were several years ago, and they continue to develop more, while ours are increasingly obsolete. The same thing has happened in other areas. Over the same period, the Soviet Union built 4 new classes of submarine-launched ballistic missiles and over 60 new missile submarines. We built",Ronald Reagan,"March 23, 1983: Address to the Nation on National Security",1983-03-23T13:00:00-05:00,0
"sophomore at Notre Dame. Megan's story is about the unbounded power of a father's love for a daughter. But our slow and burdensome approval process at the Food and Drug Administration keeps too many advances, like the one that saved Megan's life, from reaching those in need. If we slash the restraints, not just at the FDA but across our Government, then we will be blessed with far more miracles like Megan. In fact, our children will grow up in",Donald Trump,"February 28, 2017: Address to Joint Session of Congress",2017-02-28T20:00:00-05:00,0
"position for life; the agent, one at the will of the President. The former is personally interested in living in harmony with the Indian and in establishing a permanent peace, to the end that some portion of his life may be spent within the limits of civilized society; the latter has no such personal interest. Another reason is an economic one; and still another, the hold which the Government has upon a life officer to secure a faithful discharge of",Ulysses S. Grant,"December 6, 1869: First Annual Message",1869-12-06T13:03:58-04:56,0
"reorganization of border patrol in prevention of smuggling, law enforcement in the District of Columbia, and other subjects.<br /> It is desirable that these measures should be completed.<br /> The short session does not permit of extensive legislative programs, but there are a number of questions which, if time does not permit action, I recommend should be placed in consideration by the Congress, perhaps through committees cooperating in some instances with the Federal departments, with view to preparation for subsequent",Herbert Hoover,"December 2, 1930: Second State of the Union address.",1930-12-02T11:47:00-05:00,0
"Kenton is recovering in Texas. Raqqa is liberated. And Justin is wearing his new Bronze Star, with a “V” for “Valor.” Staff Sergeant Peck:&nbsp; All of America salutes you. Terrorists who do things like place bombs in civilian hospitals are evil. When possible, we annihilate them. When necessary, we must be able to detain and question them. But we must be clear: Terrorists are not merely criminals. They are unlawful enemy combatants. And when captured overseas, they should be treated",Donald Trump,"January 30, 2018: State of the Union Address",2018-01-30T21:00:00-05:00,1
that value is. Would not the safest plan be that which has been adopted by many of the States as the basis of taxation--an actual valuation of lands and classification of them into different rates? Would it not be practicable and expedient to cause the relative value of the public lands in the old districts which have been for a certain length of time in market to be appraised and classed into two or more rates below the present minimum,Martin Van Buren,"December 5, 1837: First Annual Message to Congress",1837-12-05T13:03:58-04:56,0
"let us look away to the future, which is sure to be laden for them with greater prosperity than has ever before been known. The removal of the monopoly of slave labor is a pledge that those regions will be peopled by a numerous and enterprising population, which will vie with any in the Union in compactness, inventive genius, wealth, and industry. Our Government springs from and was made for the people--not the people for the Government. To them it",Andrew Johnson,"December 4, 1865: First Annual Message",1865-12-04T13:03:58-04:56,0
"more laws, spent more money, initiated more programs, than in all our previous history.<br /> In pursuing our goals of full employment, better housing, excellence in education; in rebuilding our cities and improving our rural areas; in protecting our environment and enhancing the quality of life--in all these and more, we will and must press urgently forward.<br /> We shall plan now for the day when our wealth can be transferred from the destruction of war abroad to the urgent",Richard M. Nixon,"January 20, 1969: First Inaugural Address",1969-01-20T13:00:00-05:00,0
"down-to-earth things that will stimulate our economy, increase productivity and put America back to work. The time is now to resolve that the basis of a firm and principled foreign policy is one that takes the world as it is and seeks to change it by leadership and example; not by harangue, harassment or wishful thinking. The time is now to say that while we shall seek new friendships and expand and improve others, we shall not do so by",Ronald Reagan,"July 17, 1980: Republican National Convention",1980-07-17T14:00:00-04:00,0
"the gains of the past two years to provide additional support to educate disadvantaged children, to care for the elderly, to provide nutrition and legal services for the poor, and to strengthen the economic base of our urban communities and, also, our rural areas. This year, we will take our first steps to develop a national health plan. We must never accept a permanent group of unemployed Americans, with no hope and no stake in building our society. For those",Jimmy Carter,"January 23, 1979: State of the Union Address",1979-01-23T13:00:00-05:00,0
"a year. Would you believe it? Working 24 hours around the clock. We built the Hoover Dam in record time. We built the Golden Gate Bridge. We linked our nation together with railroads and highways. We dug out the Panama Canal. We’re the nation that won two World Wars, defeated fascism and communism, and put satellites into space and planted our great American flag on the face of the moon. We’ve healed the sick, cured disease, and cared for the",Donald Trump,"February 1, 2018: Remarks at the House and Senate Republican Member Conference",2018-02-01T14:00:00-05:00,1
"our hands lies the ability to shape our world for good or for ill.<br /> I know that it's easy to lose sight of this truth, to become cynical and doubtful, consumed with the petty and the trivial. But in my life, I have also learned that hope is found in unlikely places, that inspiration often comes not from those with the most power or celebrity, but from the dreams and aspirations of ordinary Americans who are anything but ordinary.<br",Barack Obama,"February 24, 2009: Address Before a Joint Session of Congress",2009-02-24T13:00:00-05:00,0
"teams of the best minds in their fields, and focus on the hardest problems in clean energy, we’ll fund the Apollo projects of our time.<br /> <br /> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; At the California Institute of Technology, they’re developing a way to turn sunlight and water into fuel for our cars.&nbsp; At Oak Ridge National Laboratory, they’re using supercomputers to get a lot more power out of our nuclear facilities.&nbsp; With more research and incentives, we can break our dependence on oil",Barack Obama,"January 25, 2011: 2011 State of the Union Address",2011-01-25T01:00:00-05:00,0
"values every life. And in this work, we must not overlook the weakest among us. I ask you to protect infants at the very hour of their birth and end the practice of partial-birth abortion. And because no human life should be started or ended as the object of an experiment, I ask you to set a high standard for humanity and pass a law against all human cloning. The qualities of courage and compassion that we strive for in",George W. Bush,"January 28, 2003: State of the Union Address",2003-01-28T13:00:00-05:00,0
"authorization of the Congress. As a means of negotiation I recommend the immediate appointment of a small joint special committee chosen from the appropriate general standing committees of the House and Senate to receive bids, which when made should be reported with recommendations as to acceptance, upon which a law should be enacted, effecting a sale to the highest bidder who will agree to carry out these purposes. If anything were needed to demonstrate the almost utter incapacity of the",Calvin Coolidge,"December 8, 1925: Third Annual Message",1925-12-08T13:00:00-05:00,0
"There are many, many Members of Congress here and many others who are not here who played a major role in this legislation. Time does not permit me to mention them all, but I do want to thank the Senate majority leader for his heroic efforts in the 11th hour to make sure we passed this bill; Senator Kennedy and Senator Dodd for their passionate and years-long commitment to this effort. I want to thank the Speaker, Speaker Foley, and",Bill Clinton,"February 5, 1993: Remarks at the Signing of the Family Medical Leave Act",1993-02-05T13:00:00-05:00,0
"that government confessedly (what there is the best reason for supposing it always to have been in fact) a government merely on paper. Were the Spanish armies able to meet their antagonists in the open or in pitched battle, prompt and decisive results might be looked for, and the immense superiority of the Spanish forces in numbers, discipline, and equipment could hardly fail to tell greatly to their advantage. But they are called upon to face a foe that shuns",Grover Cleveland,"December 7, 1896: Fourth Annual Message (Second Term)",1896-12-07T13:00:00-05:00,0
"makes them available to developing America of today, and still holds to the conserving thought for the America of tomorrow.<br /> The Federal Government&#39;s relation to reclamation and development is too important to admit of ample discussion today. Alaska, alone, is rich in resources beyond all imagination, and needs only closer linking, through the lines of transportation, and a government policy that both safeguards and encourages development, to speed it to a foremost position as a commonwealth, rugged in citizenship",Warren G. Harding,"June 12, 1920: Speech Accepting the Republican Nomination",1920-06-12T18:48:00-04:00,0
"and in every such case its constitutional right to do so is cheerfully conceded. But to authorize the Senate to enter on such a task in its legislative or executive capacity the inquiry must actually grow out of and tend to some legislative or executive action, and the decision, when expressed, must take the form of some appropriate legislative or executive act.<br /> The resolution in question was introduced, discussed, and passed not as a joint but as a separate",Andrew Jackson,"April 15, 1834: Protest of Senate Censure",1834-04-15T13:21:58-04:56,0
"veterans, we will have reduced expenditures of this Government to the lowest point since 1916.<br /> In the matter of tax legislation, we must face the plain and unpalatable fact that due to the degeneration in the economic situation during the past month the estimates of fertility of taxes which have been made from time to time based upon the then current prospects of business must be readjusted to take account of the decreasing business activity and shrinking values. The",Herbert Hoover,"May 31, 1932: Statement on the National Economy",1932-05-31T12:07:00-04:00,0
"States for her admission as a State into our Union. This election I approved, and accordingly the charge&#39; d&#39;affaires of the United States in Texas, under instructions of the 10th of March, 1845, presented these sections of the resolution for the acceptance of that Republic. The executive government, the Congress, and the people of Texas in convention have successively complied with all the terms and conditions of the joint resolution. A constitution for the government of the State of Texas,",James K. Polk,"December 2, 1845: First Annual Message",1845-12-02T10:42:58-04:56,0
"number has been reduced to 1,850 persons. In view of a depleted public Treasury and the imperative demand of the people for economy in the administration of their Government, the Secretary has entered upon the task of rationally reducing expenditures by the elimination from the pay rolls of all persons not needed for an efficient conduct of the affairs of the Department. During the first quarter of the present year the expenses of the Department aggregated $345,876.76, as against $402,012.42",Grover Cleveland,"December 4, 1893: First Annual Message (Second Term)",1893-12-04T13:00:00-05:00,0
"January budget when and if Congress so decides that that should be done.<br /> One thing is unmistakably clear, however: Our deficit just must be reduced. Failure to act could bring on conditions that would strike hardest at those people that all of us are trying so hard to help.<br /> These times call for prudence in this land of plenty. I believe that we have the character to provide it, and tonight I plead with the Congress and with",Lyndon B. Johnson,"March 31, 1968: Remarks on Decision not to Seek Re-Election",1968-03-31T13:00:00-05:00,0
"new term, I will ensure every poor county in America has a community or rural health center. (Applause.) As I have traveled our country, I have met too many good doctors, especially OB/GYNS, who are being forced out of practice because of the high cost of lawsuits. To make health care more affordable and accessible, we must pass medical liability reform now. (Applause.) And in all we do to improve health care in America, we will make sure that health",George W. Bush,"September 3, 2004: Remarks at the Republican National Convention",2004-09-03T00:08:00-04:00,0
"enable us to enjoy.<br /> As connected with the subject of this inquiry, I beg leave to refer to the accompanying letter from the Secretary of War, inclosing the orders which proceeded from that Department, and a letter from the governor of Georgia.<br /> &nbsp;",Andrew Jackson,"February 22, 1831: Message Regarding Indian Relations",1831-02-22T12:12:58-04:56,0
"the time that the assault weapon ban was not effective. But that’s history. As I told the NRA, that’s history: You’re not going to worry about it anymore; I’m not going to worry about it anymore. Let’s do something better. Let’s stop playing the political game, Mr. President, talking about this and this. You add up all the States who have used the instant check and how many weapons they’ve kept out of the hands of criminals, it would far",Bill Clinton,"October 6, 1996: Presidential Debate with Senator Bob Dole",1996-10-06T14:00:00-04:00,1
"is what we are as a nation—what we mean as a nation, to ourselves and to the world.<br /> <br /> In New York Harbor stands one of the most famous statues in the world—the Statue of Liberty, the gift in 1886 of the people of France to the people of the United States. This statue is more than a landmark; it is a symbol—a symbol of what America has meant to the world.<br /> <br /> It reminds us",Richard M. Nixon,"January 20, 1972: State of the Union Address",1972-01-20T13:00:00-05:00,0
"I intend to appoint a strong man to fill it. The new Secretary will be my principal adviser and my strong right arm on all transportation matters. I hope he will be the best equipped man in this country to give leadership to the country, to the President, to the Cabinet, to the Congress. Among the many duties the new department will have, several deserve very special notice. --To improve the safety in every means of transportation, safety of our",Lyndon B. Johnson,"October 15, 1966: Remarks on the Creation of the Department of Transportation",1966-10-15T13:00:00-04:00,0
"class. The Government, when it asserts that right, seeks not to antagonize a class but simply to defend the right of the whole people as against the irreparable harm and injury that might be done by the attempt by any class to usurp a power that only Government itself has a right to exercise as a protection to all. In the matter of international disputes which have led to war, statesmen have sought to set up as a remedy arbitration",Woodrow Wilson,"December 2, 1919: Seventh Annual Message",1919-12-02T13:00:00-05:00,0
"claimants. Such a measure will be proposed, and I recommend its enactment. RAILROAD CONSOLIDATION In order to increase the efficiency of transportation and decrease its cost to the shipper, railroad consolidation must be secured. Legislation is needed to simplify the necessary procedure to secure such agreements and arrangements for consolidation, always under the control and with the approval of the Interstate Commerce Commission. Pending this, no adequate or permanent reorganization can be made of the freight-rate structure. Meantime, both agriculture",Calvin Coolidge,"December 6, 1927: Fifth Annual Message",1927-12-06T13:00:00-05:00,0
"this new world order, an order in which a credible United Nations can use its peacekeeping role to fulfill the promise and vision of the U.N.'s founders.<br /> We have no argument with the people of Iraq. Indeed, for the innocents caught in this conflict, I pray for their safety. Our goal is not the conquest of Iraq. It is the liberation of Kuwait. It is my hope that somehow the Iraqi people can, even now, convince their dictator that",George H. W. Bush,"January 16, 1991: Address to the Nation on the Invasion of Iraq",1991-01-16T13:00:00-05:00,0
"say the revealment&mdash;of the Constitution, and our reconstruction as an industrial nation. Here is the transcending task. It concerns our common weal at home and will decide our future eminence in the world. More than these, this Republic, under constitutional liberties, has given to mankind the most fortunate conditions for human activity and attainment the world has ever noted, and we are today the world&#39;s reserve force in the great contest for liberty through security, and maintained equality of opportunity",Warren G. Harding,"June 12, 1920: Speech Accepting the Republican Nomination",1920-06-12T18:48:00-04:00,0
"And that's not easy to do. For too many of us, it's become safer to retreat into our own bubbles, whether in our neighborhoods or on college campuses or places of worship or especially our social media feeds, surrounded by people who look like us and share the same political outlook and never challenge our assumptions. And the rise of naked partisanship and increasing economic and regional stratification, the splintering of our media into a channel for every taste—all this",Barack Obama,"January 10, 2017: Farewell Address to the Nation",2017-01-10T20:00:00-05:00,0
"and the oversight ought to be remedied at the earliest possible date. In a special message to this Congress at the last session, I stated the reasons why I had not approved the deed for the release to the United States by the Choctaws and Chickasaws of the lands formerly embraced in the Cheyenne and Arapahoe Reservation and remaining after allotments to that tribe. A resolution of the Senate expressing the opinion of that body that notwithstanding the facts stated",Benjamin Harrison,"December 6, 1892: Fourth Annual Message",1892-12-06T13:00:00-05:00,0
"gravity of the questions themselves. These are not appropriate subjects for narrow partisan oratory. They go to the heart of what we Americans are all about--all of us, Democrats and Republicans. Tonight I have spoken of some of the goals I should like to see America reach. Many of them can be achieved this year-others by the time we celebrate our Nation's 200th birthday--the bicentennial of our independence. Several of these goals are going to be very hard to reach.",Lyndon B. Johnson,"January 17, 1968: State of the Union Address",1968-01-17T13:00:00-05:00,0
"Viet-Nam have built with toil and sacrifice. We will use our power with restraint and with all the wisdom that we can command. But we will use it. This war, like most wars, is filled with terrible irony. For what do the people of North Viet-Nam want? They want what their neighbors also desire: food for their hunger; health for their bodies; a chance to learn; progress for their country; and an end to the bondage of material misery. And",Lyndon B. Johnson,"April 7, 1965: Address at Johns Hopkins University",1965-04-07T13:00:00-05:00,0
"coast of America westward of the Stony Mountains shall, together with its harbors, bays, and creeks, and the navigation of all rivers within the same, be free and open for the term of ten years from the date of the signature of the present convention to the vessels, citizens, and subjects of the two powers; it being well understood that this agreement is not to be construed to the prejudice of any claim which either of the two high contracting",James K. Polk,"December 2, 1845: First Annual Message",1845-12-02T10:42:58-04:56,0
"make upon it, and I appeal most earnestly to the Congress to aid in the fulfillment of the pledge. Gratifying progress has been made during the past year, and especially during the past four months. The greater part of the necessary preliminary work has been done. Actual work of excavation could be begun only on a limited scale till the Canal Zone was made a healthful place to live in and to work in. The Isthmus had to be sanitated",Theodore Roosevelt,"December 5, 1905: Fifth Annual Message",1905-12-05T13:00:00-05:00,0
"there would be of bringing such cases if we do not adhere. I think that we would have the same legal or moral right to disregard such a finding in the one case that we would in the other. If we are going to support any court, it will not be one that we have set tip alone or which reflects only our ideals. Other nations have their customs and their institutions, their thoughts and their methods of life. If",Calvin Coolidge,"December 8, 1925: Third Annual Message",1925-12-08T13:00:00-05:00,0
"United States shall be a party; to controversies between two or more States, between a State and citizens of another State, between citizens of different States, between citizens of the same State claiming lands under grants of different States, and between a State, or the citizens thereof, and foreign states, citizens, or subjects."" Here the judicial power of the United States is expressly set forth and defined: and the act of September 24. 1789, establishing the judicial courts of the",Andrew Johnson,"March 27, 1866: Veto Message on Civil Rights Legislation",1866-03-27T14:09:58-04:56,0
"of choices we make together. And we face such choices right now. Will we respond to the changes of our time with fear, turning inward as a nation, turning against each other as a people? Or will we face the future with confidence in who we are, in what we stand for, in the incredible things that we can do together? So let’s talk about the future, and four big questions that I believe we as a country have to",Barack Obama,"January 12, 2016: 2016 State of the Union Address",2016-01-12T01:00:00-05:00,0
"were Austrian and Hungarian subjects. This deplorable event naturally aroused the solicitude of the Austro-Hungarian Government, which, on the assumption that the killing and wounding involved the unjustifiable misuse of authority, claimed reparation for the sufferers. Apart from the searching investigation and peremptory action of the authorities of Pennsylvania, the Federal Executive took appropriate steps to learn the merits of the case, in order to be in a position to meet the urgent complaint of a friendly power. The sheriff",William McKinley,"December 5, 1898: Second Annual Message",1898-12-05T13:00:00-05:00,0
"and Abandoned Lands, that may now be under or within their control. They will also turn over to such officers all funds collected by tax or otherwise for the benefit of refugees or freedmen or accruing from abandoned lands or property set apart for their use, and will transfer to them all official records connected with the administration of affairs which pertain to said Bureau.<br /> &nbsp;",Andrew Johnson,"June 2, 1865: Message Regarding Control of Abandoned Lands and Property",1865-06-02T14:02:58-04:56,0
"under its last four Presidents.<br /> <br /> The first principle is strength. Tonight I can tell you that we are strong enough to keep all of our commitments. We will need expenditures of $58.3 billion for the next fiscal year to maintain this necessary defense might.<br /> <br /> While special Vietnam expenditures for the next fiscal year are estimated to increase by $5.8 billion, I can tell you that all the other expenditures put together in the entire",Lyndon B. Johnson,"January 12, 1966: State of the Union",1966-01-12T13:00:00-05:00,0
"size comes a responsibility to assure every taxpayer that we are being careful with the money they work so hard to earn.&nbsp; And that's why I'm assigning a team of managers to ensure that the precious dollars we've invested are being spent wisely and well.&nbsp; We will -- (applause) -- Governor Ritter, Mayor Hickenlooper, we're going to hold governors and local officials who receive the money to the same high standard.&nbsp; And we expect you, the American people, to hold",Barack Obama,"February 7, 2009: Remarks on the American Recovery and Reinvestment Act",2009-02-07T01:00:00-05:00,0
I can do nothing less. I take it for granted that all neutral governments will take the same course.<br /> We do not desire any hostile conflict with the Imperial German Government. We are the sincere friends of the German people and earnestly desire to remain at peace with the Government which speaks for them. We shall not believe that they are hostile to us unless and until we are obliged to believe it; and we purpose nothing more than,Woodrow Wilson,"February 3, 1917: Message Regarding US-German Relations",1917-02-03T18:39:00-05:00,0
"if Americans saw it on the front page of their newspaper, they'd say, ""That makes sense."" I have had issued a directive prohibiting the NSC staff itself from undertaking covert operations—no ifs, ands, or buts. I have asked Vice President Bush to reconvene his task force on terrorism to review our terrorist policy in light of the events that have occurred.<br /> Third, in terms of the process of reaching national security decisions, I am adopting in total the Tower",Ronald Reagan,"March 4, 1987: Address to the Nation on Iran-Contra",1987-03-04T13:00:00-05:00,0
"questions:<br /> First, were we truly men of courage—with the courage to stand up to one's enemies—and the courage to stand up, when necessary, to one's associates—the courage to resist public pressure, as well as private greed?<br /> Secondly, were we truly men of judgment—with perceptive judgment of the future as well as the past—of our own mistakes as well as the mistakes of others—with enough wisdom to know that we did not know, and enough candor to admit it?<br",John F. Kennedy,"January 9, 1961: ""City Upon a Hill"" Speech",1961-01-09T13:00:00-05:00,0
"to vote than anybody thought possible. Q&nbsp;&nbsp;&nbsp; So why should the American people then be comfortable with an American President asking a foreign leader for information about an American citizen? PRESIDENT TRUMP:&nbsp; Well, I think you can look at your senators and you can look at Biden, and you can look at all these other people.&nbsp; But what we’re looking for is corruption.&nbsp; An investigation started, called the “Russian witch hunt,” affectionately.&nbsp; And it was a total phony scam.&nbsp; It",Donald Trump,"September 25, 2019: Press Conference",2019-09-25T16:30:00-04:00,1
"the religions and the philosophies, the cultures, and the wisdoms of 5,000 years of civilization have finally distilled and confided to us--the promise of the abundant life and the brotherhood of man. The heritage that we share together is a fragile heritage. A world war would certainly destroy it. Pride and arrogance could destroy it. Neglect and indifference could destroy it. It could be destroyed by narrow nationalism or ideological intolerance--or rabid extremism of either the left or the right.",Lyndon B. Johnson,"June 25, 1965: Remarks on the 20th Anniversary of the U.N. Charter",1965-06-25T13:00:00-04:00,0
"our throats again once more in a short generation.<br /> <br /> Most Americans realize more clearly than ever before that modern war equipment in the hands of aggressor nations can bring danger overnight to our own national existence or to that of any other nation—or island—or continent.<br /> <br /> It is clear to us that if Germany and Italy and Japan—or any one of them—remain armed at the end of this war, or are permitted to rearm, they",Franklin D. Roosevelt,"January 7, 1943: State of the Union Address",1943-01-07T13:00:00-04:00,1
"may be used as an engine to undermine your free institutions, and that those who desire to engross all power in the hands of the few and to govern by corruption or force are aware of its power and prepared to employ it. Your banks now furnish your only circulating medium, and money is plenty or scarce according to the quantity of notes issued by them. While they have capitals not greatly disproportioned to each other, they are competitors in",Andrew Jackson,"March 4, 1837: Farewell Address",1837-03-04T17:45:58-04:56,0
"Bokkelen against Hayti will probably be made, and I trust the principle of such settlements may be extended in practice under the approval of the Senate. Through unforeseen causes, foreign to the will of both Governments, the ratification of the convention of December 5, 1885, with Venezuela, for the rehearing of claims of citizens of the United States under the treaty of 1866, failed of exchange within the term provided, and a supplementary convention, further extending the time for exchange",Grover Cleveland,"December 3, 1888: Fourth Annual Message",1888-12-03T13:00:00-05:00,0
"experience shows that it is not impossible. Many of the tribes which are now quiet and orderly and self-supporting were once as savage as any that at present roam over the plains or in the mountains of the far West, and were then considered inaccessible to civilizing influences. It may be impossible to raise them fully up to the level of the white population of the United States; but we should not forget that they are the aborigines of the",Rutherford B. Hayes,"December 2, 1878: Second Annual Message",1878-12-02T13:03:58-04:56,1
"as well.<br /> That&#39;s why I stand here tonight. Because for two hundred and thirty two years, at each moment when that promise was in jeopardy, ordinary men and women&mdash;students and soldiers, farmers and teachers, nurses and janitors&mdash;found the courage to keep it alive.<br /> We meet at one of those defining moments&mdash;a moment when our nation is at war, our economy is in turmoil, and the American promise has been threatened once more.<br /> Tonight, more Americans are out",Barack Obama,"August 28, 2008: Acceptance Speech at the Democratic National Convention",2008-08-28T14:00:00-04:00,0
"some 10,000 youngsters with disabilities are part of Little League's Challenger Division. Their teams play just like others, but—and this is the most remarkable part—as they play, at their sides are volunteer buddies from conventional Little League teams. All of these players work together. They team up to wheel around the bases and to field grounders together and, most of all, just to play and become friends. We must let these children be our guides and inspiration. I also want",George H. W. Bush,"July 26, 1990: Remarks on the Signing of the Americans with Disabilities Act",1990-07-26T14:00:00-04:00,0
"To the Congress:<br /> In my last annual message the evils of our present financial system were plainly pointed out and the causes and means of the depletion of Government gold were explained. It was therein stated that after all the efforts that had been made by the executive branch of the Government to protect our gold reserve by the issuance of bonds amounting to more than $162,000,000, such reserve then amounted to but little more than $79,000,000; that about",Grover Cleveland,"December 20, 1895: Message Regarding the Financial Crisis",1895-12-20T16:27:00-05:00,0
enacted in the absence of such information; that I was not myself possessed at that time of adequate knowledge of the facts to determine whether or not the proposed act was in accord with my pledge to support a fair and reasonable protective policy; that such legislation might prove only temporary and inflict upon a great industry the evils of continued uncertainty. I now herewith submit a report of the Tariff Board on Schedule K. The board is unanimous in,William Taft,"December 5, 1911: Third Annual Message",1911-12-05T13:00:00-05:00,0
"idea of raising a future revenue out of the public lands. In former messages I have expressed my conviction that the Constitution does not warrant the application of the funds of the general government to objects of internal improvement which are not national in their character, and, both as a means of doing justice to all interests and putting an end to a course of legislation calculated to destroy the purity of the government, have urged the necessity of reducing",Andrew Jackson,"December 4, 1832: Fourth Annual Message to Congress",1832-12-04T13:03:58-04:56,0
"to improve social and environmental conditions. We must and we will continue progress toward protecting the health and safety of the American people. But we must also realize that everything has a price and that consumers eventually pick up the tab. Where regulations are essential, they must be efficient. Where they fight inflation, they should be encouraged. Where they are unnecessary, they should be removed. Early this year, I directed Federal agencies to eliminate unnecessary regulations and to analyze the",Jimmy Carter,"October 24, 1978: Anti-Inflation Program Speech",1978-10-24T13:00:00-04:00,0
"by Texas the latter became so far a part of our own country as to make it our duty to afford such protection and defense, and that for that purpose our squadron had been ordered to the Gulf and our Army to take a ""position between the Nueces and the Del Norte"" or Rio Grande and to ""repel any invasion of the Texan territory which might be attempted by the Mexican forces.""<br /> It was deemed proper to issue this",James K. Polk,"December 8, 1846: Second Annual Message to Congress",1846-12-08T11:10:58-04:56,0
"use the requisite compulsion and to keep the peace while they are soliciting and entreating the parties and bystanders to allow the law to take its course? This is the necessary consequence of the positions that are assumed. If we indulge in such impracticable views as these, and keep on refining and re-refining, we shall drive the National Government out of the United States and relegate it to the District of Columbia, or perhaps to some foreign soil. We shall",Rutherford B. Hayes,"June 15, 1880: Veto Message Regarding Military Legislation",1880-06-15T14:48:58-04:56,0
as surprising as they are discreditable.<br /> There is not a thoughtful business man in the country who does not know that the enactment into law of the declaration of the Chicago convention upon the subject of the tariff would at once plunge the country into a business convulsion such as it has never seen; and there is not a thoughtful workingman who does not know that it would at once enormously reduce the amount of work to be done,Benjamin Harrison,"September 3, 1892: Speech Accepting the Republican Nomination",1892-09-03T15:59:00-05:00,0
"been denounced and its repeal demanded. The menace of 16 to 1, therefore, still hangs over us with all its dire consequences to credit and confidence, to business and industry. The enemies of sound currency are rallying their scattered forces. The people must once more unite and overcome the advocates of repudiation, and must not relax their energy until the battle for public honor and honest money shall again triumph.<br /> A Congress which will sustain and, if need be,",William McKinley,"July 12, 1900: Speech Accepting the Republican Nomination",1900-07-12T17:42:00-05:00,1
"to execute the provisions of that law according to its letter and spirit.&nbsp; I am unwilling, in justice to the present civil servants of the Government,to dismiss this subject without declaring my dissent from the severe and almost indiscriminate censure with which they have been recently assailed.That they are as a class indolent, inefficient, and corrupt is a statement which has been often made and widely credited; but when the extent, variety,delicacy, and importance of their duties are considered the",Chester A. Arthur,"December 6, 1881: First Annual Message",1881-12-06T13:03:58-04:56,0
"for the American people to decide. I think what the people want to know is how I stand on issues, and what my policies will be, and what my party stands for. They are much more interested in what the Democratic nominee advocates than what he thinks about his opponent or his chances of winning. I have every confidence that the Democratic Party will adopt a good platform, will select good candidates, and that they will present their views to",Lyndon B. Johnson,"July 24, 1964: Press Conference at the State Department",1964-07-24T13:00:00-04:00,0
"which is simply another name for self-government. But we can not give them self-government save in the sense of governing them so that gradually they may, if they are able, learn to govern themselves. Under the present system of just laws and sympathetic administration, we have every reason to believe that they are gradually acquiring the character which lies at the basis of self-government, and for which, if it be lacking, no system of laws, no paper constitution, will in",Theodore Roosevelt,"December 9, 1908: Eighth Annual Message",1908-12-09T13:00:00-05:00,0
"always come under a protective tariff; and that the country can not prosper under fitful tariff changes at short intervals. Moreover, if the tariff laws as a whole work well, and if business has prospered under them and is prospering, it is better to endure for a time slight inconveniences and inequalities in some schedules than to upset business by too quick and too radical changes. It is most earnestly to be wished that we could treat the tariff from",Theodore Roosevelt,"December 2, 1902: Second Annual Message",1902-12-02T13:00:00-05:00,0
"States note prefers the gold and gets it from the Government, he should not receive back from the Government a United States note without paying gold in exchange for it. The reason for this is made all the more apparent when the Government issues an interest-bearing debt to provide gold for the redemption of United States notes--a non-interest-bearing debt. Surely it should not pay them out again except on demand and for gold. If they are put out in any",William McKinley,"December 6, 1897: First Annual Message",1897-12-06T13:00:00-05:00,0
